Section,Metric,Value,CI Lower,CI Upper
"Original","Usable rows","150","",""
"Original","True positives","78","",""
"Original","True negatives","55","",""
"Original","False positives","0","",""
"Original","False negatives","17","",""
"Original","Accuracy","0.8867","",""
"Original","Precision","1.0000","",""
"Original","Recall","0.8211","",""
"Original","Specificity","1.0000","",""
"Original","F1 score","0.9017","",""
"Original","False-positive rate","0.0000","",""
"Original","False-negative rate","0.1789","",""
"Original","Negative predictive value","0.7639","",""
"Extended","Usable rows","200","",""
"Extended","True positives","15","",""
"Extended","True negatives","140","",""
"Extended","False positives","0","",""
"Extended","False negatives","45","",""
"Extended","Accuracy","0.7750","",""
"Extended","Precision","1.0000","",""
"Extended","Recall","0.2500","",""
"Extended","Specificity","1.0000","",""
"Extended","F1 score","0.4000","",""
"Extended","False-positive rate","0.0000","",""
"Extended","False-negative rate","0.7500","",""
"Extended","Negative predictive value","0.7568","",""
"Combined","Usable rows","350","",""
"Combined","True positives","93","",""
"Combined","True negatives","195","",""
"Combined","False positives","0","",""
"Combined","False negatives","62","",""
"Combined","Accuracy","0.8229","0.7794","0.8593"
"Combined","Precision","1.0000","0.9603","1.0000"
"Combined","Recall","0.6000","0.5214","0.6738"
"Combined","Specificity","1.0000","0.9807","1.0000"
"Combined","F1 score","0.7500","",""
"Combined","False-positive rate","0.0000","0.0000","0.0193"
"Combined","False-negative rate","0.4000","0.3262","0.4786"
"Combined","Negative predictive value","0.7588","0.7029","0.8070"
"Validation Sample","Requested sample size","342","",""
"Validation Sample","Original usable sample size","150","",""
"Validation Sample","Additional usable sample size","200","",""
"Validation Sample","Combined usable sample size","350","",""
"Validation Sample","Meets requested sample size","Yes","",""
"Validation Sample","Duplicate rows reported","0","",""
"Detector","Detector version","current-worktree","",""
